route_id,service_id,trip_id,trip_headsign,shape_id
V10-190-197,3076,4842062,Natzaret,74
V10-197-190,3076,4842166,Alacant,73
V10-190-197,3076,4842063,Natzaret,74
V10-197-190,3076,4842167,Alacant,73
V10-190-197,3076,4842064,Natzaret,74
V10-197-190,3076,4842168,Alacant,73
V10-190-197,3076,4842065,Natzaret,74
V10-197-190,3076,4842169,Alacant,73
V10-190-197,3076,4842066,Natzaret,74
V1-29-20,3076,4841088,Empalme,2
V10-197-190,3076,4842170,Alacant,73
V10-190-197,3076,4842067,Natzaret,74
V10-197-190,3076,4842171,Alacant,73
V10-190-197,3076,4842068,Natzaret,74
V10-197-190,3076,4842172,Alacant,73
V10-190-197,3076,4842069,Natzaret,74
V10-197-190,3076,4842173,Alacant,73
V10-190-194,3076,4842070,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842174,Alacant,73
V10-190-197,3076,4842071,Natzaret,74
V1-1-29,3076,4841438,Castelló,2
V10-197-190,3076,4842175,Alacant,73
V10-190-194,3076,4842072,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842176,Alacant,73
V10-190-197,3076,4842073,Natzaret,74
V10-197-190,3076,4842177,Alacant,73
V10-190-194,3076,4842074,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842178,Alacant,73
V10-190-197,3076,4842075,Natzaret,74
V10-197-190,3076,4842179,Alacant,73
V10-190-194,3076,4842076,Ciutat Arts i Ciències - Justícia,74
V1-29-20,3076,4841087,Empalme,2
V10-194-190,3076,4842180,Alacant,73
V10-190-197,3076,4842077,Natzaret,74
V10-197-190,3076,4842181,Alacant,73
V10-190-194,3076,4842078,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842182,Alacant,73
V10-190-197,3076,4842079,Natzaret,74
V10-197-190,3076,4842183,Alacant,73
V10-190-194,3076,4842080,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842184,Alacant,73
V10-190-197,3076,4842081,Natzaret,74
V10-197-190,3076,4842185,Alacant,73
V10-190-194,3076,4842082,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842186,Alacant,73
V10-190-197,3076,4842083,Natzaret,74
V10-197-190,3076,4842187,Alacant,73
V10-190-194,3076,4842084,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842188,Alacant,73
V10-190-197,3076,4842085,Natzaret,74
V10-197-190,3076,4842189,Alacant,73
V10-190-194,3076,4842086,Ciutat Arts i Ciències - Justícia,74
V1-36-20,3076,4841086,Seminari - CEU,2
V10-194-190,3076,4842190,Alacant,73
V10-190-197,3076,4842087,Natzaret,74
V10-197-190,3076,4842191,Alacant,73
V10-190-194,3076,4842088,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842192,Alacant,73
V10-190-197,3076,4842089,Natzaret,74
V10-197-190,3076,4842193,Alacant,73
V10-190-194,3076,4842090,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842194,Alacant,73
V10-190-197,3076,4842091,Natzaret,74
V10-197-190,3076,4842195,Alacant,73
V10-190-194,3076,4842092,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842196,Alacant,73
V10-190-197,3076,4842093,Natzaret,74
V10-197-190,3076,4842197,Alacant,73
V10-190-194,3076,4842094,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842198,Alacant,73
V10-190-197,3076,4842095,Natzaret,74
V10-197-190,3076,4842199,Alacant,73
V10-190-194,3076,4842096,Ciutat Arts i Ciències - Justícia,74
V1-39-20,3076,4841085,Bétera,2
V10-194-190,3076,4842200,Alacant,73
V10-190-197,3076,4842097,Natzaret,74
V10-197-190,3076,4842201,Alacant,73
V10-190-194,3076,4842098,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842202,Alacant,73
V10-190-197,3076,4842099,Natzaret,74
V10-197-190,3076,4842203,Alacant,73
V10-190-194,3076,4842100,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842204,Alacant,73
V10-190-197,3076,4842101,Natzaret,74
V1-1-29,3076,4841437,Castelló,2
V10-197-190,3076,4842205,Alacant,73
V10-190-194,3076,4842102,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842206,Alacant,73
V10-190-197,3076,4842103,Natzaret,74
V10-197-190,3076,4842207,Alacant,73
V10-190-194,3076,4842104,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842208,Alacant,73
V10-190-197,3076,4842105,Natzaret,74
V10-197-190,3076,4842209,Alacant,73
V10-190-194,3076,4842106,Ciutat Arts i Ciències - Justícia,74
V1-29-20,3076,4841084,Empalme,2
V10-194-190,3076,4842210,Alacant,73
V10-190-197,3076,4842107,Natzaret,74
V10-197-190,3076,4842211,Alacant,73
V10-190-194,3076,4842108,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842212,Alacant,73
V10-190-197,3076,4842109,Natzaret,74
V10-197-190,3076,4842213,Alacant,73
V10-190-194,3076,4842110,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842214,Alacant,73
V10-190-197,3076,4842111,Natzaret,74
V1-17-29,3076,4841436,Torrent,48
V10-197-190,3076,4842215,Alacant,73
V10-190-194,3076,4842112,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842216,Alacant,73
V10-190-197,3076,4842113,Natzaret,74
V10-197-190,3076,4842217,Alacant,73
V10-190-194,3076,4842114,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842218,Alacant,73
V10-190-197,3076,4842115,Natzaret,74
V10-197-190,3076,4842219,Alacant,73
V10-190-194,3076,4842116,Ciutat Arts i Ciències - Justícia,74
V1-36-17,3076,4841083,Seminari - CEU,2
V10-194-190,3076,4842220,Alacant,73
V10-190-197,3076,4842117,Natzaret,74
V10-197-190,3076,4842221,Alacant,73
V10-190-194,3076,4842118,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842222,Alacant,73
V10-190-197,3076,4842119,Natzaret,74
V10-197-190,3076,4842223,Alacant,73
V10-190-194,3076,4842120,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842224,Alacant,73
V10-190-197,3076,4842121,Natzaret,74
V1-1-36,3076,4841435,Castelló,48
V10-197-190,3076,4842225,Alacant,73
V10-190-194,3076,4842122,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842226,Alacant,73
V10-190-197,3076,4842123,Natzaret,74
V10-197-190,3076,4842227,Alacant,73
V10-190-194,3076,4842124,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842228,Alacant,73
V10-190-197,3076,4842125,Natzaret,74
V10-197-190,3076,4842229,Alacant,73
V10-190-194,3076,4842126,Ciutat Arts i Ciències - Justícia,74
V1-39-17,3076,4841082,Bétera,2
V10-194-190,3076,4842230,Alacant,73
V10-190-197,3076,4842127,Natzaret,74
V10-197-190,3076,4842231,Alacant,73
V10-190-194,3076,4842128,Ciutat Arts i Ciències - Justícia,74
V10-194-190,3076,4842232,Alacant,73
V10-190-197,3076,4842129,Natzaret,74
